occupation,education,education_years
"Neurodiagnostic Technologists","Postsecondary nondegree award",18.5
Neurologists,"Doctoral or professional degree",22.0
"New Accounts Clerks","High school diploma or equivalent",17.0
"News Analysts, Reporters, and Journalists","Bachelor's degree",21.0
"Non-Destructive Testing Specialists","High school diploma or equivalent",17.0
"Nuclear Engineers","Bachelor's degree",21.0
"Nuclear Medicine Technologists","Associate's degree",19.0
"Nuclear Monitoring Technicians","Associate's degree",19.0
"Nuclear Power Reactor Operators","High school diploma or equivalent",17.0
"Nuclear Technicians","Associate's degree",19.0
"Nurse Anesthetists","Master's degree",22.0
"Nurse Midwives","Master's degree",22.0
"Nurse Practitioners","Master's degree",22.0
"Nursing Assistants","Postsecondary nondegree award",18.5
"Nursing Instructors and Teachers, Postsecondary","Doctoral or professional degree",22.0
"Obstetricians and Gynecologists","Doctoral or professional degree",22.0
"Occupational Health and Safety Specialists","Bachelor's degree",21.0
"Occupational Health and Safety Technicians","High school diploma or equivalent",17.0
"Occupational Therapists","Master's degree",22.0
"Occupational Therapy Aides","High school diploma or equivalent",17.0
"Occupational Therapy Assistants","Associate's degree",19.0
"Office Clerks, General","High school diploma or equivalent",17.0
"Office Machine Operators, Except Computer","High school diploma or equivalent",17.0
"Online Merchants","Bachelor's degree",21.0
"Operating Engineers and Other Construction Equipment Operators","High school diploma or equivalent",17.0
"Operations Research Analysts","Bachelor's degree",21.0
"Ophthalmic Laboratory Technicians","High school diploma or equivalent",17.0
"Ophthalmic Medical Technicians","Postsecondary nondegree award",18.5
"Ophthalmic Medical Technologists","Postsecondary nondegree award",18.5
"Ophthalmologists, Except Pediatric","Doctoral or professional degree",22.0
"Opticians, Dispensing","High school diploma or equivalent",17.0
Optometrists,"Doctoral or professional degree",22.0
"Oral and Maxillofacial Surgeons","Doctoral or professional degree",22.0
"Order Clerks","Some college, no degree",18.0
Orderlies,"High school diploma or equivalent",17.0
Orthodontists,"Doctoral or professional degree",22.0
Orthoptists,"Doctoral or professional degree",22.0
"Orthotists and Prosthetists","Master's degree",22.0
"Outdoor Power Equipment and Other Small Engine Mechanics","High school diploma or equivalent",17.0
"Packaging and Filling Machine Operators and Tenders","High school diploma or equivalent",17.0
"Packers and Packagers, Hand","No formal educational credential",14.0
"Painters, Construction and Maintenance","No formal educational credential",14.0
"Painting, Coating, and Decorating Workers","No formal educational credential",14.0
"Paper Goods Machine Setters, Operators, and Tenders","High school diploma or equivalent",17.0
Paperhangers,"No formal educational credential",14.0
"Paralegals and Legal Assistants","Associate's degree",19.0
"Park Naturalists","Bachelor's degree",21.0
"Parking Attendants","No formal educational credential",14.0
"Parking Enforcement Workers","High school diploma or equivalent",17.0
"Parts Salespersons","No formal educational credential",14.0
"Passenger Attendants","High school diploma or equivalent",17.0
"Patient Representatives","Postsecondary nondegree award",18.5
"Patternmakers, Metal and Plastic","High school diploma or equivalent",17.0
"Patternmakers, Wood","High school diploma or equivalent",17.0
"Paving, Surfacing, and Tamping Equipment Operators","High school diploma or equivalent",17.0
"Payroll and Timekeeping Clerks","High school diploma or equivalent",17.0
"Pediatricians, General","Doctoral or professional degree",22.0
"Personal Care Aides","High school diploma or equivalent",17.0
"Personal Financial Advisors","Bachelor's degree",21.0
"Pest Control Workers","High school diploma or equivalent",17.0
"Pesticide Handlers, Sprayers, and Applicators, Vegetation","High school diploma or equivalent",17.0
"Petroleum Engineers","Bachelor's degree",21.0
"Petroleum Pump System Operators, Refinery Operators, and Gaugers","High school diploma or equivalent",17.0
Pharmacists,"Doctoral or professional degree",22.0
"Pharmacy Aides","High school diploma or equivalent",17.0
"Pharmacy Technicians","High school diploma or equivalent",17.0
"Philosophy and Religion Teachers, Postsecondary","Doctoral or professional degree",22.0
Phlebotomists,"Postsecondary nondegree award",18.5
Photographers,"High school diploma or equivalent",17.0
"Photographic Process Workers and Processing Machine Operators","High school diploma or equivalent",17.0
"Photonics Engineers","Bachelor's degree",21.0
"Photonics Technicians","Postsecondary nondegree award",18.5
"Physical Medicine and Rehabilitation Physicians","Doctoral or professional degree",22.0
"Physical Therapist Aides","High school diploma or equivalent",17.0
"Physical Therapist Assistants","Associate's degree",19.0
"Physical Therapists","Doctoral or professional degree",22.0
"Physician Assistants","Master's degree",22.0
"Physicians, Pathologists","Doctoral or professional degree",22.0
Physicists,"Doctoral or professional degree",22.0
"Physics Teachers, Postsecondary","Doctoral or professional degree",22.0
"Pile Driver Operators","High school diploma or equivalent",17.0
Pipelayers,"No formal educational credential",14.0
"Plasterers and Stucco Masons","No formal educational credential",14.0
"Plating Machine Setters, Operators, and Tenders, Metal and Plastic","High school diploma or equivalent",17.0
"Plumbers, Pipefitters, and Steamfitters","High school diploma or equivalent",17.0
Podiatrists,"Doctoral or professional degree",22.0
"Poets, Lyricists and Creative Writers","Bachelor's degree",21.0
"Police Identification and Records Officers","High school diploma or equivalent",17.0
"Police and Sheriff's Patrol Officers","High school diploma or equivalent",17.0
"Political Science Teachers, Postsecondary","Doctoral or professional degree",22.0
"Political Scientists","Master's degree",22.0
"Postal Service Clerks","High school diploma or equivalent",17.0
"Postal Service Mail Carriers","High school diploma or equivalent",17.0
"Postal Service Mail Sorters, Processors, and Processing Machine Operators","High school diploma or equivalent",17.0
"Postmasters and Mail Superintendents","High school diploma or equivalent",17.0
"Potters, Manufacturing","High school diploma or equivalent",17.0
"Pourers and Casters, Metal","High school diploma or equivalent",17.0
"Power Distributors and Dispatchers","High school diploma or equivalent",17.0
"Power Plant Operators","High school diploma or equivalent",17.0
"Precision Agriculture Technicians","Bachelor's degree",21.0
"Prepress Technicians and Workers","Postsecondary nondegree award",18.5
"Preschool Teachers, Except Special Education","Associate's degree",19.0
"Pressers, Textile, Garment, and Related Materials","No formal educational credential",14.0
"Preventive Medicine Physicians","Doctoral or professional degree",22.0
"Print Binding and Finishing Workers","High school diploma or equivalent",17.0
"Printing Press Operators","High school diploma or equivalent",17.0
"Private Detectives and Investigators","High school diploma or equivalent",17.0
"Probation Officers and Correctional Treatment Specialists","Bachelor's degree",21.0
"Procurement Clerks","High school diploma or equivalent",17.0
"Producers and Directors","Bachelor's degree",21.0
"Production, Planning, and Expediting Clerks","High school diploma or equivalent",17.0
"Proofreaders and Copy Markers","Bachelor's degree",21.0
"Property, Real Estate, and Community Association Managers","High school diploma or equivalent",17.0
Prosthodontists,"Doctoral or professional degree",22.0
"Psychiatric Aides","High school diploma or equivalent",17.0
"Psychiatric Technicians","Postsecondary nondegree award",18.5
Psychiatrists,"Doctoral or professional degree",22.0
"Psychology Teachers, Postsecondary","Doctoral or professional degree",22.0
"Public Relations Specialists","Bachelor's degree",21.0
"Public Safety Telecommunicators","High school diploma or equivalent",17.0
"Pump Operators, Except Wellhead Pumpers","High school diploma or equivalent",17.0
"Purchasing Agents, Except Wholesale, Retail, and Farm Products","Bachelor's degree",21.0
"Purchasing Managers","Bachelor's degree",21.0
"Quality Control Analysts","Associate's degree",19.0
"Quality Control Systems Managers","Bachelor's degree",21.0
"Radiation Therapists","Associate's degree",19.0
"Radio Frequency Identification Device Specialists","Bachelor's degree",21.0
"Radio, Cellular, and Tower Equipment Installers and Repairers","Associate's degree",19.0
"Radiologic Technologists and Technicians","Associate's degree",19.0
Radiologists,"Doctoral or professional degree",22.0
"Rail Car Repairers","High school diploma or equivalent",17.0
"Rail Yard Engineers, Dinkey Operators, and Hostlers","High school diploma or equivalent",17.0
"Rail-Track Laying and Maintenance Equipment Operators","High school diploma or equivalent",17.0
"Railroad Brake, Signal, and Switch Operators and Locomotive Firers","High school diploma or equivalent",17.0
"Railroad Conductors and Yardmasters","High school diploma or equivalent",17.0
"Range Managers","Bachelor's degree",21.0
"Real Estate Brokers","High school diploma or equivalent",17.0
"Real Estate Sales Agents","High school diploma or equivalent",17.0
"Receptionists and Information Clerks","High school diploma or equivalent",17.0
"Recreation Workers","High school diploma or equivalent",17.0
"Recreation and Fitness Studies Teachers, Postsecondary","Doctoral or professional degree",22.0
"Recreational Therapists","Bachelor's degree",21.0
"Recreational Vehicle Service Technicians","High school diploma or equivalent",17.0
"Recycling Coordinators","High school diploma or equivalent",17.0
"Recycling and Reclamation Workers","No formal educational credential",14.0
"Refractory Materials Repairers, Except Brickmasons","High school diploma or equivalent",17.0
"Refuse and Recyclable Material Collectors","No formal educational credential",14.0
"Registered Nurses","Bachelor's degree",21.0
"Regulatory Affairs Managers","Bachelor's degree",21.0
"Regulatory Affairs Specialists","Bachelor's degree",21.0
"Rehabilitation Counselors","Master's degree",22.0
"Reinforcing Iron and Rebar Workers","High school diploma or equivalent",17.0
"Remote Sensing Scientists and Technologists","Bachelor's degree",21.0
"Remote Sensing Technicians","Associate's degree",19.0
"Reservation and Transportation Ticket Agents and Travel Clerks","High school diploma or equivalent",17.0
"Residential Advisors","High school diploma or equivalent",17.0
"Respiratory Therapists","Associate's degree",19.0
"Retail Loss Prevention Specialists","High school diploma or equivalent",17.0
"Retail Salespersons","No formal educational credential",14.0
Riggers,"High school diploma or equivalent",17.0
"Robotics Engineers","Bachelor's degree",21.0
"Robotics Technicians","Associate's degree",19.0
"Rock Splitters, Quarry","No formal educational credential",14.0
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic","High school diploma or equivalent",17.0
"Roof Bolters, Mining","High school diploma or equivalent",17.0
Roofers,"No formal educational credential",14.0
"Rotary Drill Operators, Oil and Gas","No formal educational credential",14.0
"Roustabouts, Oil and Gas","No formal educational credential",14.0
"Sailors and Marine Oilers","No formal educational credential",14.0
"Sales Engineers","Bachelor's degree",21.0
"Sales Managers","Bachelor's degree",21.0
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","High school diploma or equivalent",17.0
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Bachelor's degree",21.0
"Sawing Machine Setters, Operators, and Tenders, Wood","High school diploma or equivalent",17.0
